Financial Instrument,Daily P&L,Unrealized P&L,Days to Last Trading Day,Position,Avg Price,Last,Market Value,Change %,Delta Dollars,Portfolio Delta,Gamma,Portfolio Gamma,Portfolio Theta,Delta,Drill Down,Symbol,Underlying,Beta          ,Closing Impl. Vol. %,Hist. Vol. %,
AAPL Jan15'21 155 PUT,-5,-260,252.0,3,3.066,C2.21,659,,0,,,,,,,AAPL  210115P00155000,AAPL,1.16367,50.6%,,
BKLN Jan15'21 22 PUT,-73,"1,948",252.0,11,0.952,C2.80,"2,995",,"-14,697",-703.532,0.107,117.407,-2.459,-0.640,,BKLN  210115P00022000,BKLN,,21.6%,,
BKNG Jan15'21 700 PUT,19,"-3,702",252.0,1,60.803,C23.60,"2,378",,"-7,982",-5.506,0.000,0.014,-17.412,-0.055,,BKNG  210115P00700000,BKNG,1.03285,65.4%,,
BNDX CFD,0,58,,-200,57.447,C57.16,"-11,432",,"-11,432",,,,,,,BNDXn,BNDX,,9.3%,,
CLX Oct16'20 100 PUT,50,"-2,667",161.0,10,2.97,C0.25,302,,"-2,300",-11.356,0.000,0.444,-6.136,-0.011,,CLX   201016P00100000,CLX,0.21,49.1%,,
CMG CFD,0,-75,,-2,860.08,C897.51,"-1,795",,"-1,795",,,,,,,CMGn,CMG,1.17853,35.9%,,
CVNA CFD,-7,-392,,-20,78.39,98.00,"-1,960",0.003378724275621975,"-1,960",,,,,,,CVNAn,CVNA,,88.6%,,
DIS Jul17'20 55 PUT,-15,"-3,937",70.0,10,4.208,C0.28,270,,"-1,819",-16.830,0.001,1.181,-10.563,-0.017,,DIS   200717P00055000,DIS,1.08338,76.8%,,
ES Jun19'20 @GLOBEX,"4,650","6,956",42.0,3,2864.65,2910.75,"436,650",0.010677083333333334,"436,650",,,,,,,ESM0,ES,,27.4%,45.489%,
ESTX50 Jun19'20 @DTB,233,631,42.0,1,2821.2,2879.00,"28,843",0.006291506466270535,"28,843",,,,,,,FESX JUN 20,ESTX50,,,44.837%,
ESTX50 (OESX) Jul17'20 1200 PUT @DTB,-5,"-13,190",70.0,130,10.95,C0.80,"1,035",,"-8,285",-2.854,0.000,0.009,-61.303,-0.002,,P OESX JUL 20  1200,ESTX50,,75.6%,,
EURN CFD,180,-600,,"1,000",10.81,10.22,"10,210",0.018943170488534524,"10,210",,,,,,,EURNn,EURN,0.15566,79.2%,,
EWA Oct16'20 12 PUT,-55,-425,161.0,10,0.77,C0.40,345,,"-2,157",-129.305,0.043,42.638,-3.206,-0.129,,EWA   201016P00012000,EWA,1.01633,46.8%,,
FXI Aug21'20 24 PUT,310,655,105.0,330,0.142,C0.15,"5,326",,"-42,613","-1,097.998",0.007,237.607,-119.200,-0.033,,FXI   200821P00024000,FXI,0.87088,50.3%,,
GC Jun26'20 @NYMEX,190,"2,198",49.0,1,1705.73,1727.80,"172,770",0.0011588828369451848,"172,770",,,,,,,GCM0,GC,,22%,26.649%,
GC FOP (OG) Jun'20 1670 PUT @NYMEX,36,-306,18.0,1,16.43,C13.00,"1,336",,"-42,211",-24.432,0.004,0.359,-75.649,-0.244,,OGM0 P1670,GC,,21.9%,,
GDXJ May15'20 24 PUT,257,-283,7.0,100,0.055,C0.00,258,,"-1,945",-44.560,0.001,12.629,-91.158,-0.004,,GDXJ  200515P00024000,GDXJ,,162.2%,,
